Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
0.5892466214425512,0.18288947597424937,0.7323749424965498,0.5462224378,Arts,ENTP
0.24837360199778177,0.29616178927428444,0.8068924135448127,0.37650121890000005,Fiction,INTP
0.7029589692662032,0.6442712836129337,0.416464987899274,0.5454441761000001,Others,ESFP
0.5465597369360611,0.3999675210773338,0.28247194831689904,0.5080477123,Sports,ENFJ
0.3598217437786838,0.614396203459119,0.5313468808128488,0.3677984233,Others,ISFP
0.10686372459893849,0.7161955540000621,0.3844020641238475,0.6347241399,Sports,ISFJ
0.6298443158327407,0.6180920273493063,0.7906484389063344,0.6705587885000001,Arts,ESTJ
0.39897830702593934,0.4242429718219637,0.5090535432125928,0.5556499970000001,Technology,INFP
0.15505711019702792,0.663807146919578,0.05767846070764246,0.6919573121,Fiction,ISFJ
0.7023039096557786,0.693336869592728,0.9495089705382324,0.6052260677,Arts,ESTP
0.39864527672018146,0.6248406534520695,0.18318699121947318,0.5447140637000001,Arts,ISFP
0.45302922565953496,0.447756858753734,0.060980658839530376,0.5558510043,Arts,ENFP
0.9296225956562045,0.6618730593850267,0.7191571494289658,0.5219353564000001,Sports,ESTJ
0.10167125208393962,0.5042375323843293,0.8260835650139009,0.6966520027,Arts,INTJ
0.11459142781993162,0.6473613346952924,0.298118887133228,0.6820404491000001,Others,ISFJ
0.9932463854210732,0.6816382044822807,0.8982928975738546,0.5647164882000001,Arts,ESTP
0.5617421185327864,0.6145212239601645,0.07727263635818149,0.759879469,Others,ESFJ
0.8075504870943255,0.7696183857408601,0.17044822689361364,0.5993003615,Arts,ESFP
0.27574609289445334,0.6319298383487467,0.9832779966798008,0.6232064241,Others,ISTJ
0.12979581141883909,0.6436909902934227,0.8294017641058463,0.5771908533000001,Sports,INTJ
0.02884062449682921,0.6323261551260873,0.03851331079864792,0.47775151429999996,Fiction,ISFP
0.26687328546897765,0.6068678292709261,0.5792467548052883,0.2984196236,Sports,ISFP
0.4558184794816328,0.6253989237202981,0.3875342520551233,0.5711100933000001,Fiction,ISFP
